Time (ms)	24V Voltage (V)	24V Current (I)	Fiducial Sensor (V)	Pressure Vessel Pressure (psi)	Flow Sensor (V)	Fairing Temperature (F)	Reservoir Temperature (F)	Right Hall Effect (V)	Left Hall Effect (V)	Tank PT (psig)	Right Clamp PT (psig)	Left Clamp PT (psig)	Brake PT (psig)	Cooling PT (V)	Displacement (ft)	Velocity (ft/s)	x acceleration (g)	IMU Pressure (psia)	IMU Temperature (F)	Max Cell Voltage (V)	Max Cell ID (#)	Min Cell Voltage (V)	Min Cell ID (#)	State of Charge (%)	Average Voltage (V)	Voltage Delta (V)	Pack Current (I)	Pack Voltage (V)	Max Resistance (Ohm)	Min Resistance (Ohm)	Average Resistance (Ohm)	Resistance Delta (Ohm)	Highest Temperature (F)	BMSStatus.isFault	BMSStatus.isolation	Motor Velocity	Motor Torque	Motor Position	Motor Temperature	Controller Temperature	Motor DC Voltage	Motor Error Code	motorStatus.isReady	motorStatus.isOn	motorStatus.isOperEn	motorStatus.isFault	motorStatus.isVoltEn	motorStatus.targetReached	motorStatus.isWarning	isAlive	motorControllerState	State	Pod Power	Dump Valve	Brakes	Clamp	HighSide	LowSide	Drive	DO7	Throttle	Pump	AO2	AO3
2260.000000	26.519528	149.986054	0.000000	-3.600160	0.008157	-436.148410	-439.933348	-0.200687	-0.185910	-1284.504444	-104.474206	-104.464448	-104.425417	0.004874	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
2360.000000	26.552485	150.043519	0.000000	-3.550904	0.014725	-435.111441	-439.000076	-0.196746	-0.181313	-1286.761371	-104.620574	-104.679121	-104.669363	-0.003992	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
2460.000000	26.580292	150.174868	0.000000	-3.523813	0.019322	-435.059592	-439.311167	-0.199045	-0.184596	-1290.372454	-104.776700	-104.796216	-104.815732	-0.007276	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
2560.000000	26.517468	150.002473	0.000000	-3.504111	0.010128	-436.303956	-440.711076	-0.207254	-0.185582	-1290.372454	-104.766942	-104.737669	-104.737669	-0.004321	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
2660.000000	26.562784	149.986054	0.000000	-3.494260	0.011441	-436.252107	-440.555530	-0.202985	-0.180656	-1284.053059	-104.454690	-104.483964	-104.474206	0.002247	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
2760.000000	26.531887	150.158449	0.000000	-3.528739	0.006516	-437.703864	-441.955439	-0.198716	-0.189194	-1290.598147	-104.727911	-104.718153	-104.718153	-0.003664	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
2860.000000	26.513349	150.232333	0.000000	-3.651878	-0.011217	-439.725955	-442.525772	-0.199045	-0.186567	-1290.146761	-104.737669	-104.688879	-104.708395	-0.000380	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
2960.000000	26.503050	150.059938	0.000000	-3.565681	0.000933	-438.637137	-442.681317	-0.205284	-0.187880	-1289.921069	-104.718153	-104.659606	-104.649848	-0.001694	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
3060.000000	26.550425	150.248751	0.000000	-3.496723	0.010128	-436.770592	-440.970318	-0.198060	-0.178357	-1286.309986	-104.640090	-104.669363	-104.669363	-0.004321	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
3160.000000	26.513349	150.133821	0.000000	-3.565681	-0.000052	-438.326046	-440.503682	-0.204955	-0.189194	-1290.598147	-104.757184	-104.737669	-104.718153	-0.003007	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000
