Time (ms)	LowV Voltage (V)	LowV Current (I)	Fiducial Sensor (V)	Pressure Vessel Pressure (psi)	Flow Sensor (V)	Fairing Temperature (F)	Reservoir Temperature (F)	Right Hall Effect (V)	Left Hall Effect (V)	Tank PT (psig)	Right Clamp PT (psig)	Left Clamp PT (psig)	Brake PT (psig)	Cooling PT (V)	Displacement (ft)	Velocity (ft/s)	x acceleration (g)	IMU Pressure (psia)	IMU Temperature (F)	Max Cell Voltage (V)	Max Cell ID (#)	Min Cell Voltage (V)	Min Cell ID (#)	State of Charge (%)	Average Voltage (V)	Voltage Delta (V)	Pack Current (I)	Pack Voltage (V)	Max Resistance (Ohm)	Min Resistance (Ohm)	Average Resistance (Ohm)	Resistance Delta (Ohm)	Highest Temperature (F)	BMSStatus.isFault	BMSStatus.isolation	Motor Velocity	Motor Temperature	Controller Temperature	Motor DC Voltage	Motor Error Code	motorStatus.isReady	motorStatus.isOn	motorStatus.isOperEn	motorStatus.isFault	motorStatus.isVoltEn	motorStatus.targetReached	motorStatus.isWarning	isAlive	motorControllerState	State	Pod Power	Dump Valve	Brakes	Clamp	Pump	HighSide	Precharge	Drive	Throttle	Pump	AO2	AO3
343290.000000	26.461854	-55.048807	2.000000	-18.480497	-0.023695	-438.170500	-438.377894	2.920152	3.810694	-1284.955830	22.643984	21.560860	20.585072	5.286721	-19600.768334	-0.049908	0.000277	14.673464	89.202532	4.044100	6.000000	4.034000	33.000000	78.000000	4.040900	0.010100	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
343390.000000	26.500990	-54.654762	2.000000	-18.253921	-0.000052	-439.466712	-443.614590	2.924749	3.810365	-1293.080766	22.624468	22.312216	22.321974	5.317917	-19639.954842	-0.049925	0.000010	14.673464	89.204180	4.044000	6.000000	4.034100	33.000000	78.000000	4.041000	0.009900	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
343490.000000	26.435077	-54.482367	2.000000	-18.246388	0.007501	-438.481591	-441.229560	2.931316	3.836635	-1284.955830	21.990351	21.492700	21.717131	5.333350	-19683.544310	-0.049879	-0.000347	14.673319	89.206477	4.044000	6.000000	4.034100	33.000000	78.000000	4.041000	0.009900	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
343590.000000	26.512319	-54.621925	2.000000	-18.271306	-0.001694	-440.555530	-444.651559	2.922122	3.820545	-1287.889835	22.917059	22.751175	22.126671	5.330395	-19722.822894	-0.049938	0.000137	14.673609	89.207002	4.044100	6.000000	4.034000	33.000000	78.000000	4.040900	0.010100	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
343690.000000	26.505110	-54.646553	2.000000	-18.229149	0.001918	-439.518561	-444.236771	2.923435	3.813977	-1291.275225	22.946623	22.517276	22.302603	5.316932	-19762.146887	-0.049973	0.000061	14.673319	89.207565	4.043900	3.000000	4.034000	33.000000	78.000000	4.040900	0.009900	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
343790.000000	26.502020	-54.777901	2.000000	-18.408932	-0.014829	-434.904047	-438.118652	2.928361	3.808395	-1288.341220	22.956381	22.205024	20.858438	5.278841	-19801.515391	-0.049940	-0.000037	14.673319	89.209666	4.044000	6.000000	4.034000	33.000000	78.000000	4.040900	0.010000	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
343890.000000	26.517468	-54.687599	2.000000	-18.312883	-0.012530	-442.577620	-445.636680	2.920480	3.815619	-1289.243991	22.644129	22.165993	21.961078	5.324812	-19840.925244	-0.049937	-0.000019	14.673319	89.214881	4.044000	6.000000	4.034000	33.000000	78.000000	4.040900	0.010000	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
343990.000000	26.508199	-54.728646	2.000000	-18.251749	0.004874	-434.541108	-438.637137	2.922450	3.815291	-1289.018298	22.838851	22.536357	22.370473	5.321857	-19880.380045	-0.049946	-0.000124	14.673754	89.218277	4.044000	6.000000	4.034000	33.000000	78.000000	4.041000	0.010000	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
344090.000000	26.517468	-54.662971	2.000000	-18.271016	-0.004649	-441.333257	-445.895922	2.922778	3.812007	-1290.372454	22.575824	22.517276	22.156235	5.319230	-19924.267721	-0.049972	0.000091	14.673319	89.222554	4.043900	6.000000	4.034000	33.000000	78.000000	4.040900	0.009900	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
344190.000000	26.509229	-54.843575	2.000000	-18.335338	-0.005963	-438.481591	-439.207470	2.916868	3.816276	-1286.987064	22.702386	22.438923	22.185219	5.330066	-19968.207819	-0.049977	0.000297	14.673609	89.224635	4.043900	6.000000	4.034000	33.000000	78.000000	4.040900	0.009900	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
344290.000000	26.499960	-54.638344	2.000000	-18.199595	0.013083	-433.711532	-438.222349	2.923764	3.818575	-1288.115527	22.839286	22.468487	22.663644	5.333678	-20003.403846	-0.049907	-0.000058	14.673319	89.224450	4.044100	6.000000	4.034000	33.000000	78.000000	4.041000	0.010100	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
344390.000000	26.521588	-54.695808	2.000000	-18.285793	-0.005634	-438.481591	-439.985197	2.922122	3.827441	-1283.150288	22.966139	22.566066	22.263572	5.344843	-20047.442880	-0.049868	-0.000321	14.673319	89.225394	4.044100	6.000000	4.034100	33.000000	78.000000	4.041000	0.010000	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
344490.000000	26.492751	-54.827157	2.000000	-18.281012	0.002247	-433.555987	-437.289077	2.923435	3.813321	-1288.792605	22.780594	22.439068	22.214637	5.326783	-20087.125973	-0.049928	-0.000106	14.673464	89.228147	4.044200	6.000000	4.034100	33.000000	78.000000	4.041000	0.010100	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
344590.000000	26.510259	-54.662971	2.000000	-18.194960	0.006187	-433.244896	-437.444622	2.922122	3.820873	-1286.535678	23.073185	22.487713	22.399892	5.328425	-20126.850882	-0.049994	-0.000353	14.673609	89.229524	4.044000	6.000000	4.034100	33.000000	78.000000	4.040900	0.009900	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
344690.000000	26.532917	-54.564460	2.000000	-18.332585	-0.016470	-443.199802	-446.984740	2.930331	3.830724	-1286.535678	24.224904	23.493064	22.478245	5.301498	-20171.039701	-0.050069	-0.000428	14.673319	89.231381	4.044000	6.000000	4.034100	33.000000	78.000000	4.041000	0.009900	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
344790.000000	26.495841	-54.794320	2.000000	-18.241608	0.004217	-434.385562	-438.740834	2.917853	3.811679	-1290.372454	22.634226	22.292700	22.048753	5.328425	-20210.857921	-0.050206	-0.000190	14.673464	89.236919	4.044000	6.000000	4.034000	33.000000	78.000000	4.040900	0.010000	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
344890.000000	26.518498	-54.613716	2.000000	-18.199450	0.009142	-434.022623	-439.155621	2.925077	3.824814	-1288.792605	22.849189	22.605242	22.224685	5.328096	-20250.718656	-0.050301	0.000084	14.673174	89.242731	4.044000	6.000000	4.034000	33.000000	78.000000	4.040900	0.010000	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
344990.000000	26.514379	-54.679390	2.000000	-18.320562	-0.008918	-440.451833	-442.629469	2.923764	3.817590	-1286.084293	22.790207	22.497471	22.224250	5.311021	-20290.624669	-0.050319	-0.000401	14.673609	89.241386	4.043900	6.000000	4.034000	33.000000	78.000000	4.040900	0.009900	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
345090.000000	26.517468	-54.572669	2.000000	-18.229439	0.001590	-439.570409	-444.703408	2.923107	3.828097	-1286.309986	22.946333	22.790207	22.507228	5.341888	-20330.575540	-0.050370	-0.000194	14.673609	89.241049	4.044100	6.000000	4.034000	33.000000	78.000000	4.041000	0.010100	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
345190.000000	26.500990	-54.810738	2.000000	-18.379378	-0.009246	-435.163289	-436.252107	2.937884	3.824485	-1286.535678	24.176115	23.493064	22.156235	5.304453	-20370.571788	-0.050468	0.000421	14.673319	89.241863	4.043900	6.000000	4.034100	33.000000	78.000000	4.040900	0.009800	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
345290.000000	26.481422	-54.876413	2.000000	-18.281012	0.002903	-434.489259	-437.289077	2.919823	3.814963	-1287.889835	22.897688	22.614710	22.185364	5.325798	-20415.061099	-0.050428	-0.000353	14.673464	89.241430	4.044100	6.000000	4.034000	33.000000	78.000000	4.040900	0.010100	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
