Time (ms)	LowV Voltage (V)	LowV Current (I)	Fiducial Sensor (V)	Pressure Vessel Pressure (psi)	Flow Sensor (V)	Fairing Temperature (F)	Reservoir Temperature (F)	Right Hall Effect (V)	Left Hall Effect (V)	Tank PT (psig)	Right Clamp PT (psig)	Left Clamp PT (psig)	Brake PT (psig)	Cooling PT (V)	Displacement (ft)	Velocity (ft/s)	x acceleration (g)	IMU Pressure (psia)	IMU Temperature (F)	Max Cell Voltage (V)	Max Cell ID (#)	Min Cell Voltage (V)	Min Cell ID (#)	State of Charge (%)	Average Voltage (V)	Voltage Delta (V)	Pack Current (I)	Pack Voltage (V)	Max Resistance (Ohm)	Min Resistance (Ohm)	Average Resistance (Ohm)	Resistance Delta (Ohm)	Highest Temperature (F)	BMSStatus.isFault	BMSStatus.isolation	Motor Velocity	Motor Temperature	Controller Temperature	Motor DC Voltage	Motor Error Code	motorStatus.isReady	motorStatus.isOn	motorStatus.isOperEn	motorStatus.isFault	motorStatus.isVoltEn	motorStatus.targetReached	motorStatus.isWarning	isAlive	motorControllerState	State	Pod Power	Dump Valve	Brakes	Clamp	Pump	Ignition	DO6	DO7	High Side Contactor	Precharge Contactor	Low Side Contactor	DO3	DO4	DO5	DO6	DO7
25410.000000	26.536006	0.270854	0.000000	-3.612474	-0.004649	-439.051924	-442.940560	-0.130087	-0.198060	-1288.341220	-0.003007	-0.002022	-0.002351	-0.001694	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25520.000000	26.528797	0.270526	0.000000	-3.610011	-0.000709	-437.859410	-441.540651	-0.126475	-0.194776	-1289.695376	-0.003992	-0.002351	-0.002022	-0.002022	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25640.000000	26.528797	0.270197	0.000000	-3.614936	-0.004321	-438.533440	-442.318378	-0.127131	-0.197731	-1288.341220	-0.003007	-0.003664	-0.002351	-0.002022	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25760.000000	26.515409	0.269212	0.000000	-3.612474	-0.005963	-439.000076	-443.044257	-0.128773	-0.199045	-1286.987064	-0.001037	-0.000709	-0.001365	-0.002351	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25880.000000	26.529827	0.270526	0.000000	-3.617399	-0.004977	-438.792682	-442.629469	-0.129102	-0.197731	-1288.341220	-0.002679	-0.002022	-0.001365	-0.001694	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26000.000000	26.529827	0.269869	0.000000	-3.607548	-0.001365	-437.703864	-441.488803	-0.127788	-0.196418	-1287.889835	-0.002679	-0.003336	-0.003007	-0.002679	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26130.000000	26.511289	0.268884	0.000000	-3.610011	-0.003992	-438.637137	-442.473923	-0.128773	-0.198716	-1287.212757	-0.001037	-0.001365	-0.001694	-0.000709	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26240.000000	26.513349	0.268556	0.000000	-3.617399	-0.004649	-438.792682	-442.473923	-0.126803	-0.195761	-1287.664142	-0.001365	-0.002351	-0.002679	-0.002351	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26350.000000	26.542186	0.273153	0.000000	-3.605085	-0.000709	-437.911258	-441.592499	-0.128117	-0.196089	-1287.889835	-0.002679	-0.002022	-0.002022	-0.001694	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26460.000000	26.525707	0.270854	0.000000	-3.605085	-0.004321	-438.896379	-442.629469	-0.130415	-0.198716	-1287.889835	-0.002679	-0.002351	-0.004321	-0.001694	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
